year,month,day,hour,temperature,dew,sealevelpressure,wind dir,wind speed,cloud,one,six,score
2020,1,1,0,24,15,10284,90,20,2,0,0,1
2020,1,1,1,20,10,0,0,10,9,0,0,1
2020,1,1,2,30,30,0,70,30,9,0,0,1
2020,1,1,3,57,34,10285,110,40,0,0,0,1
2020,1,1,4,100,40,0,120,40,0,0,0,2
2020,1,1,5,120,0,0,120,40,0,0,0,2
2020,1,1,6,112,-6,10246,110,60,0,0,0,2
2020,1,1,7,120,10,0,110,50,0,0,0,2
2020,1,1,8,110,20,0,100,50,0,0,0,2
2020,1,1,9,91,0,10246,110,50,6,0,0,2
2020,1,1,10,90,0,0,90,60,0,0,0,2
2020,1,1,11,80,0,0,100,60,0,0,0,2
2020,1,1,12,80,-7,10255,110,60,7,0,0,2
2020,1,1,13,90,-10,0,110,70,0,0,0,2
2020,1,1,14,90,-10,0,110,60,0,0,0,2
2020,1,1,15,72,-17,10261,110,40,8,0,0,2
2020,1,1,16,80,0,0,100,50,0,0,0,2
2020,1,1,17,80,10,0,110,30,0,0,0,2
2020,1,1,18,70,9,10256,90,30,7,0,0,1
2020,1,1,19,70,30,0,60,20,0,0,0,1
2020,1,1,20,70,30,0,90,20,0,0,0,1
2020,1,1,21,66,21,10245,90,30,8,0,0,1
2020,1,1,22,70,40,0,70,20,0,0,0,1
2020,1,1,23,70,40,0,60,20,0,0,0,1
2020,1,2,0,72,33,10246,90,30,7,0,0,2
2020,1,2,1,80,50,0,60,10,0,0,0,2
2020,1,2,2,90,50,0,0,10,0,0,0,2
2020,1,2,3,95,45,10256,90,20,8,0,0,2
2020,1,2,4,100,50,0,40,20,0,0,0,2
2020,1,2,5,100,50,0,50,20,0,0,0,2
2020,1,2,6,112,47,10234,90,40,7,0,0,2
2020,1,2,7,110,50,0,50,20,0,0,0,2
2020,1,2,8,110,50,0,70,30,0,0,0,2
2020,1,2,9,107,55,10243,40,20,8,0,0,2
2020,1,2,10,100,60,0,350,10,0,0,0,2
2020,1,2,11,100,60,0,20,20,0,0,0,2
2020,1,2,12,97,71,10258,360,20,8,0,-1,2
2020,1,2,13,90,70,0,10,20,0,0,0,2
2020,1,2,14,90,80,0,30,20,0,0,0,2
2020,1,2,15,83,72,10276,20,40,8,0,0,2
2020,1,2,16,80,80,0,30,30,0,0,0,2
2020,1,2,17,80,80,0,50,30,0,0,0,2
2020,1,2,18,72,58,10287,70,50,8,0,20,2
2020,1,2,19,70,60,0,60,70,0,0,0,1
2020,1,2,20,70,60,0,70,70,0,0,0,1
2020,1,2,21,61,47,10298,70,50,8,0,0,1
2020,1,2,22,60,50,0,70,80,0,0,0,1
2020,1,2,23,60,50,0,60,60,0,0,0,1
2020,1,3,0,57,45,10317,70,20,8,0,20,1
2020,1,3,1,60,50,0,70,60,0,0,0,1
2020,1,3,2,60,50,0,80,60,0,0,0,1
2020,1,3,3,53,41,10329,40,30,8,0,0,1
2020,1,3,4,60,50,0,60,60,0,0,0,1
2020,1,3,5,50,40,0,60,70,0,0,0,1
