year,month,day,hour,temperature,dew,sealevelpressure,wind dir,wind speed,cloud,one,six,score
2020,1,1,0,-32,-101,10373,340,10,0,0,0,1
2020,1,1,1,-10,-80,0,280,20,0,0,0,1
2020,1,1,2,20,-130,0,0,10,0,0,0,1
2020,1,1,3,34,-148,10370,360,30,0,0,0,1
2020,1,1,4,50,-140,0,0,20,0,0,0,1
2020,1,1,5,50,-150,0,0,20,0,0,0,1
2020,1,1,6,55,-176,10347,70,20,4,0,0,1
2020,1,1,7,70,-160,0,280,20,0,0,0,1
2020,1,1,8,60,-170,0,0,10,0,0,0,1
2020,1,1,9,42,-151,10336,320,10,3,0,0,1
2020,1,1,10,10,-100,0,0,10,0,0,0,1
2020,1,1,11,0,-100,0,0,10,0,0,0,1
2020,1,1,12,-4,-101,10336,250,10,2,0,0,1
2020,1,1,13,-20,-70,0,200,10,0,0,0,1
2020,1,1,14,-30,-60,0,0,10,0,0,0,1
2020,1,1,15,-23,-97,10327,290,10,9,0,0,1
2020,1,1,16,-50,-80,0,0,10,0,0,0,1
2020,1,1,17,-40,-60,0,0,10,0,0,0,1
2020,1,1,18,-36,-86,10318,70,10,9,0,0,1
2020,1,1,19,-60,-70,0,0,10,0,0,0,1
2020,1,1,20,-50,-60,0,200,10,0,0,0,1
2020,1,1,21,-46,-85,10309,40,10,9,0,0,1
2020,1,1,22,-60,-80,0,70,10,0,0,0,1
2020,1,1,23,-70,-80,0,0,0,0,0,0,1
2020,1,2,0,-24,-69,10322,110,10,0,0,0,1
2020,1,2,1,0,-60,0,0,10,0,0,0,1
2020,1,2,2,30,-70,0,0,10,0,0,0,1
2020,1,2,3,62,-97,10319,220,10,0,0,0,1
2020,1,2,4,80,-100,0,0,10,0,0,0,2
2020,1,2,5,90,-140,0,50,20,0,0,0,2
2020,1,2,6,96,-129,10298,20,30,0,0,0,2
2020,1,2,7,100,-120,0,110,30,0,0,0,2
2020,1,2,8,90,-120,0,110,30,0,0,0,2
2020,1,2,9,80,-103,10300,110,20,4,0,0,2
2020,1,2,10,50,-90,0,90,20,0,0,0,1
2020,1,2,11,50,-100,0,110,30,0,0,0,1
2020,1,2,12,42,-85,10302,90,10,5,0,0,1
2020,1,2,13,20,-80,0,0,10,0,0,0,1
2020,1,2,14,0,-70,0,0,10,0,0,0,1
2020,1,2,15,40,-84,10297,90,30,9,0,0,1
2020,1,2,16,20,-60,0,60,10,0,0,0,1
2020,1,2,17,10,-50,0,0,10,0,0,0,1
2020,1,2,18,30,-69,10280,110,30,9,0,0,1
2020,1,2,19,20,-50,0,70,20,0,0,0,1
2020,1,2,20,20,-50,0,80,20,0,0,0,1
2020,1,2,21,33,-64,10258,110,30,9,0,0,1
2020,1,2,22,20,-40,0,80,20,0,0,0,1
2020,1,2,23,30,-40,0,100,20,0,0,0,1
2020,1,3,0,29,-43,10250,140,30,7,0,0,1
2020,1,3,1,60,-40,0,110,20,0,0,0,1
2020,1,3,2,70,-40,0,130,20,0,0,0,1
2020,1,3,3,88,-37,10235,160,30,2,0,0,2
2020,1,3,4,130,-70,0,190,20,0,0,0,2
2020,1,3,5,150,-70,0,240,20,0,0,0,4
2020,1,3,6,139,-53,10196,180,20,0,0,0,4
2020,1,3,7,150,-50,0,230,40,0,0,0,4
2020,1,3,8,140,-50,0,190,20,0,0,0,4
2020,1,3,9,129,-56,10190,250,10,4,0,0,2
2020,1,3,10,90,-30,0,140,10,0,0,0,2
2020,1,3,11,70,-30,0,0,10,0,0,0,1
2020,1,3,12,78,-28,10185,110,20,2,0,0,2
2020,1,3,13,40,-30,0,250,20,0,0,0,1
2020,1,3,14,30,-20,0,0,10,0,0,0,1
2020,1,3,15,57,-24,10185,90,10,9,0,0,1
2020,1,3,16,10,-10,0,0,10,0,0,0,1
2020,1,3,17,10,-10,0,0,10,0,0,0,1
2020,1,3,18,32,-21,10189,90,10,9,0,0,1
2020,1,3,19,10,-10,0,0,10,0,0,0,1
2020,1,3,20,0,-10,0,0,0,0,0,0,1
2020,1,3,21,24,-25,10178,40,10,9,0,0,1
2020,1,3,22,0,-20,0,0,10,0,0,0,1
2020,1,3,23,-10,-20,0,0,10,0,0,0,1
2020,1,4,0,30,-21,10185,140,10,2,0,0,1
2020,1,4,1,50,20,0,0,10,0,0,0,1
2020,1,4,2,90,10,0,0,0,0,0,0,2
2020,1,4,3,123,-6,10189,180,20,0,0,0,2
2020,1,4,4,160,0,0,100,20,0,0,0,4
2020,1,4,5,170,-20,0,90,20,0,0,0,4
2020,1,4,6,171,-25,10164,110,30,0,0,0,4
2020,1,4,7,180,-10,0,100,30,0,0,0,4
2020,1,4,8,180,-10,0,110,30,0,0,0,4
2020,1,4,9,147,-2,10161,90,30,0,0,0,4
2020,1,4,10,130,-10,0,110,40,0,0,0,2
