year,month,day,hour,temperature,dew,sealevelpressure,wind dir,wind speed,cloud,one,six,score
2020,1,1,0,9,-3,10330,140,30,2,0,0,4
2020,1,1,1,20,20,0,90,20,0,0,0,4
2020,1,1,2,50,30,0,0,10,0,0,0,4
2020,1,1,3,73,16,10319,140,40,0,0,0,4
2020,1,1,4,90,10,0,90,30,0,0,0,3
2020,1,1,5,110,10,0,110,30,0,0,0,3
2020,1,1,6,105,17,10283,110,40,6,0,0,3
2020,1,1,7,120,0,0,120,30,0,0,0,3
2020,1,1,8,110,0,0,140,30,0,0,0,3
2020,1,1,9,93,7,10276,140,30,7,0,0,3
2020,1,1,10,90,20,0,140,20,0,0,0,3
2020,1,1,11,80,20,0,140,20,0,0,0,3
2020,1,1,12,74,14,10274,110,20,8,0,0,4
2020,1,1,13,70,20,0,130,20,0,0,0,4
2020,1,1,14,50,20,0,0,10,0,0,0,4
2020,1,1,15,66,13,10263,110,10,9,0,0,4
2020,1,1,16,40,30,0,0,0,0,0,0,4
2020,1,1,17,40,30,0,300,10,0,0,0,4
2020,1,1,18,64,14,10252,140,10,0,0,0,4
2020,1,1,19,60,40,0,70,20,0,0,0,4
2020,1,1,20,60,40,0,330,10,0,0,0,4
2020,1,1,21,61,20,10240,90,10,9,0,0,4
2020,1,1,22,40,30,0,0,10,0,0,0,4
2020,1,1,23,40,30,0,0,0,0,0,0,4
2020,1,2,0,54,24,10247,110,10,7,0,0,4
2020,1,2,1,100,30,0,0,10,0,0,0,3
2020,1,2,2,120,30,0,240,30,0,0,0,3
2020,1,2,3,120,27,10248,220,10,7,0,0,3
2020,1,2,4,160,30,0,250,50,0,0,0,2
2020,1,2,5,160,40,0,240,50,0,0,0,2
2020,1,2,6,159,5,10216,270,30,6,0,0,2
2020,1,2,7,160,20,0,270,30,0,0,0,2
2020,1,2,8,150,20,0,260,30,0,0,0,3
2020,1,2,9,142,15,10213,220,10,7,0,0,3
2020,1,2,10,120,30,0,180,20,0,0,0,3
2020,1,2,11,100,30,0,0,0,0,0,0,3
2020,1,2,12,89,27,10223,70,10,3,0,0,3
2020,1,2,13,80,50,0,180,20,0,0,0,3
2020,1,2,14,60,40,0,0,10,0,0,0,4
2020,1,2,15,83,36,10219,140,20,9,0,0,3
