year,month,day,hour,temperature,dew,sealevelpressure,wind dir,wind speed,cloud,one,six,score
2020,1,1,0,25,1,10316,0,0,7,0,0,2
2020,1,1,1,30,10,0,20,10,4,0,0,2
2020,1,1,2,50,0,0,50,20,4,0,0,2
2020,1,1,3,66,-11,10323,90,30,8,0,0,4
2020,1,1,4,70,-20,0,70,30,0,0,0,4
2020,1,1,5,80,-40,0,60,30,0,0,0,4
2020,1,1,6,87,-35,10304,20,30,2,0,0,4
2020,1,1,7,80,-60,0,50,30,0,0,0,4
2020,1,1,8,80,-60,0,50,30,0,0,0,4
2020,1,1,9,66,-36,10309,40,30,0,0,0,4
2020,1,1,10,40,-50,0,80,30,0,0,0,2
2020,1,1,11,30,-40,0,60,30,0,0,0,2
2020,1,1,12,32,-23,10320,20,10,3,0,0,2
2020,1,1,13,20,-40,0,80,20,0,0,0,2
2020,1,1,14,10,-30,0,70,40,0,0,0,2
2020,1,1,15,27,-32,10312,90,50,6,0,0,2
2020,1,1,16,10,-40,0,70,40,0,0,0,2
2020,1,1,17,10,-40,0,60,30,0,0,0,2
2020,1,1,18,11,-45,10314,90,20,6,0,0,2
2020,1,1,19,0,-40,0,40,20,0,0,0,2
2020,1,1,20,-20,-50,0,0,0,0,0,0,2
2020,1,1,21,-4,-48,10304,290,10,3,0,0,2
2020,1,1,22,-30,-50,0,0,0,0,0,0,2
2020,1,1,23,-30,-50,0,0,0,0,0,0,2
2020,1,2,0,-16,-44,10308,140,10,3,0,0,2
2020,1,2,1,10,-30,0,120,20,0,0,0,2
2020,1,2,2,30,-50,0,90,30,0,0,0,2
2020,1,2,3,49,-46,10307,140,40,0,0,0,2
2020,1,2,4,60,-70,0,140,30,0,0,0,4
2020,1,2,5,70,-80,0,120,20,0,0,0,4
2020,1,2,6,76,-80,10261,110,20,2,0,0,4
2020,1,2,7,80,-100,0,0,20,0,0,0,4
2020,1,2,8,70,-100,0,0,0,0,0,0,4
2020,1,2,9,64,-76,10261,90,20,7,0,0,4
2020,1,2,10,50,-80,0,30,10,0,0,0,2
2020,1,2,11,50,-70,0,0,0,0,0,0,2
2020,1,2,12,38,-49,10279,70,10,7,0,0,2
2020,1,2,13,20,-40,0,0,0,0,0,0,2
2020,1,2,14,0,-40,0,240,20,0,0,0,2
2020,1,2,15,13,-54,10281,340,10,0,0,0,2
2020,1,2,16,0,-30,0,0,0,0,0,0,2
2020,1,2,17,0,-50,0,0,0,0,0,0,2
2020,1,2,18,4,-52,10278,320,20,0,0,0,2
2020,1,2,19,0,-40,0,0,0,0,0,0,2
2020,1,2,20,10,-40,0,320,30,0,0,0,2
2020,1,2,21,15,-26,10290,340,50,7,0,0,2
2020,1,2,22,10,-30,0,330,20,0,0,0,2
2020,1,2,23,10,-30,0,350,20,0,0,0,2
2020,1,3,0,15,-23,10312,340,50,8,0,0,2
2020,1,3,1,20,-30,0,330,40,8,0,0,2
2020,1,3,2,30,-30,0,340,30,0,0,0,2
2020,1,3,3,27,-116,10325,340,80,7,0,0,2
2020,1,3,4,30,-120,0,350,40,0,0,0,2
2020,1,3,5,40,-130,0,340,30,0,0,0,2
2020,1,3,6,41,-132,10306,340,60,7,0,0,2
2020,1,3,7,40,-110,0,340,40,0,0,0,2
2020,1,3,8,40,-150,0,330,60,0,0,0,2
2020,1,3,9,30,-137,10320,320,50,7,0,0,2
2020,1,3,10,30,-140,0,330,30,0,0,0,2
2020,1,3,11,20,-140,0,340,30,0,0,0,2
2020,1,3,12,14,-139,10338,320,50,6,0,0,2
2020,1,3,13,0,-130,0,320,20,0,0,0,2
2020,1,3,14,-10,-130,0,300,10,0,0,0,2
2020,1,3,15,4,-126,10348,340,50,5,0,0,2
2020,1,3,16,-20,-100,0,0,0,0,0,0,2
2020,1,3,17,-30,-100,0,0,0,0,0,0,2
2020,1,3,18,-14,-129,10356,340,40,0,0,0,2
2020,1,3,19,-30,-120,0,290,10,0,0,0,2
2020,1,3,20,-40,-130,0,250,20,0,0,0,2
2020,1,3,21,-20,-126,10359,320,30,0,0,0,2
2020,1,3,22,-60,-110,0,270,10,0,0,0,2
2020,1,3,23,-60,-110,0,250,10,0,0,0,2
2020,1,4,0,-21,-111,10375,250,20,0,0,0,2
2020,1,4,1,-10,-90,0,280,10,0,0,0,2
2020,1,4,2,10,-160,0,330,30,0,0,0,2
2020,1,4,3,20,-192,10376,320,50,0,0,0,2
2020,1,4,4,30,-220,0,340,40,0,0,0,2
2020,1,4,5,40,-210,0,340,40,0,0,0,2
2020,1,4,6,39,-176,10349,360,50,0,0,0,2
2020,1,4,7,40,-210,0,330,40,0,0,0,2
2020,1,4,8,40,-200,0,0,20,0,0,0,2
2020,1,4,9,24,-166,10346,320,30,0,0,0,2
2020,1,4,10,10,-190,0,10,20,0,0,0,2
2020,1,4,11,-20,-130,0,340,20,0,0,0,2
2020,1,4,12,-14,-152,10345,20,10,0,0,0,2
2020,1,4,13,-30,-120,0,0,0,0,0,0,2
2020,1,4,14,-40,-120,0,200,10,0,0,0,2
2020,1,4,15,-33,-110,10353,0,0,4,0,0,2
2020,1,4,16,-40,-90,0,0,0,0,0,0,2
2020,1,4,17,-40,-100,0,0,0,0,0,0,2
2020,1,4,18,-35,-99,10336,360,10,7,0,0,2
2020,1,4,19,-50,-80,0,240,20,0,0,0,2
2020,1,4,20,-40,-80,0,0,0,0,0,0,2
2020,1,4,21,-47,-103,10334,40,10,6,0,0,2
2020,1,4,22,-50,-90,0,0,0,0,0,0,2
2020,1,4,23,-70,-100,0,0,0,0,0,0,2
2020,1,5,0,-36,-98,10338,110,20,4,0,0,2
2020,1,5,1,-20,-90,0,80,10,0,0,0,2
2020,1,5,2,10,-130,0,120,10,0,0,0,2
2020,1,5,3,23,-127,10337,160,30,0,0,0,2
2020,1,5,4,40,-170,0,0,20,0,0,0,2
2020,1,5,5,40,-180,0,0,20,0,0,0,2
2020,1,5,6,47,-158,10298,110,20,0,0,0,2
2020,1,5,7,50,-200,0,60,20,0,0,0,2
2020,1,5,8,50,-190,0,80,20,0,0,0,2
2020,1,5,9,35,-168,10290,140,20,5,0,0,2
2020,1,5,10,20,-150,0,60,20,0,0,0,2
2020,1,5,11,30,-140,0,90,40,0,0,0,2
2020,1,5,12,20,-119,10298,140,20,7,0,0,2
2020,1,5,13,20,-120,0,120,20,0,0,0,2
2020,1,5,14,20,-130,0,100,20,0,0,0,2
2020,1,5,15,13,-111,10299,90,30,7,0,0,2
2020,1,5,16,10,-100,0,30,20,0,0,0,2
2020,1,5,17,10,-90,0,40,10,0,0,0,2
2020,1,5,18,14,-117,10306,90,30,8,0,0,2
2020,1,5,19,10,-100,0,70,30,0,0,0,2
2020,1,5,20,10,-90,0,70,30,0,0,0,2
2020,1,5,21,11,-47,10310,90,30,8,0,0,2
2020,1,5,22,10,-60,0,60,30,0,0,0,2
2020,1,5,23,10,-50,0,70,30,0,0,0,2
2020,1,6,0,9,-49,10330,90,30,3,0,0,2
2020,1,6,1,20,-50,0,70,40,0,0,0,2
2020,1,6,2,40,-60,0,80,40,0,0,0,2
2020,1,6,3,47,-81,10337,70,30,0,0,0,2
2020,1,6,4,50,-110,0,50,40,0,0,0,2
2020,1,6,5,60,-130,0,40,30,0,0,0,4
2020,1,6,6,68,-114,10322,90,30,0,0,0,4
2020,1,6,7,70,-140,0,90,40,0,0,0,4
2020,1,6,8,60,-130,0,50,30,0,0,0,4
2020,1,6,9,50,-92,10334,40,30,0,0,0,2
2020,1,6,10,30,-90,0,50,20,0,0,0,2
2020,1,6,11,30,-90,0,50,30,0,0,0,2
2020,1,6,12,18,-60,10355,20,40,0,0,0,2
2020,1,6,13,10,-70,0,40,20,0,0,0,2
2020,1,6,14,0,-70,0,60,20,0,0,0,2
2020,1,6,15,14,-51,10362,70,20,0,0,0,2
2020,1,6,16,-10,-60,0,60,20,0,0,0,2
2020,1,6,17,-20,-60,0,0,0,0,0,0,2
2020,1,6,18,6,-52,10363,70,20,0,0,0,2
2020,1,6,19,-20,-60,0,0,0,0,0,0,2
2020,1,6,20,-40,-70,0,0,0,0,0,0,2
2020,1,6,21,-7,-57,10361,360,10,0,0,0,2
2020,1,6,22,-50,-70,0,0,0,0,0,0,2
2020,1,6,23,-50,-70,0,0,0,0,0,0,2
2020,1,7,0,-2,-50,10373,360,10,0,0,0,2
2020,1,7,1,10,-50,0,60,30,0,0,0,2
2020,1,7,2,40,-50,0,90,50,0,0,0,2
2020,1,7,3,62,-48,10369,110,70,0,0,0,4
2020,1,7,4,70,-60,0,80,60,2,0,0,4
2020,1,7,5,80,-70,0,110,50,2,0,0,4
2020,1,7,6,78,-46,10340,110,40,0,0,0,4
2020,1,7,7,90,-70,0,90,50,0,0,0,4
2020,1,7,8,80,-60,0,120,50,0,0,0,4
2020,1,7,9,66,-31,10335,90,40,7,0,0,4
2020,1,7,10,60,-50,0,80,30,0,0,0,4
2020,1,7,11,60,-40,0,70,50,0,0,0,4
2020,1,7,12,50,-33,10338,90,70,8,0,0,2
2020,1,7,13,50,-40,0,80,60,0,0,0,2
2020,1,7,14,40,-30,0,80,60,0,0,0,2
2020,1,7,15,36,-22,10339,90,30,8,0,0,2
2020,1,7,16,30,-20,0,70,50,0,0,0,2
2020,1,7,17,20,-10,0,70,50,8,0,0,2
2020,1,7,18,14,-5,10337,90,40,8,0,3,2
2020,1,7,19,20,-10,0,70,40,8,0,0,2
2020,1,7,20,20,-10,0,70,40,8,0,0,2
2020,1,7,21,16,3,10328,110,40,8,0,0,2
2020,1,7,22,20,0,0,80,40,8,0,0,2
2020,1,7,23,20,0,0,70,30,8,0,0,2
2020,1,8,0,18,6,10336,90,30,8,0,5,2
2020,1,8,1,20,0,0,50,20,8,0,0,2
2020,1,8,2,20,10,0,60,30,8,0,0,2
2020,1,8,3,24,11,10339,90,30,8,0,0,2
2020,1,8,4,30,10,0,60,30,8,0,0,2
2020,1,8,5,30,10,0,50,10,8,0,0,2
2020,1,8,6,33,15,10315,90,30,8,0,5,2
2020,1,8,7,30,10,0,60,20,8,0,0,2
2020,1,8,8,30,10,0,60,20,8,0,0,2
2020,1,8,9,34,18,10323,110,20,8,0,0,2
2020,1,8,10,40,10,0,70,30,8,0,0,2
2020,1,8,11,30,10,0,70,30,8,0,0,2
2020,1,8,12,33,21,10322,110,30,8,0,-1,2
2020,1,8,13,40,20,0,80,20,8,0,0,2
2020,1,8,14,40,20,0,110,20,8,0,0,2
2020,1,8,15,34,19,10327,70,20,8,0,0,2
2020,1,8,16,40,20,0,40,20,8,0,0,2
2020,1,8,17,30,10,0,50,20,8,0,0,2
2020,1,8,18,37,14,10331,340,20,8,0,0,2
2020,1,8,19,30,10,0,50,10,8,0,0,2
2020,1,8,20,30,10,0,50,20,8,0,0,2
2020,1,8,21,34,6,10326,90,20,8,0,0,2
2020,1,8,22,30,0,0,0,0,8,0,0,2
2020,1,8,23,30,0,0,60,10,8,0,0,2
2020,1,9,0,33,-2,10331,110,20,8,0,0,2
2020,1,9,1,40,-10,0,90,30,0,0,0,2
2020,1,9,2,40,-10,0,120,30,0,0,0,2
2020,1,9,3,51,-1,10332,90,30,7,0,0,4
2020,1,9,4,50,-10,0,70,20,4,0,0,2
2020,1,9,5,60,-20,0,80,10,4,0,0,4
2020,1,9,6,70,-2,10313,90,20,7,0,0,4
2020,1,9,7,70,-10,0,0,10,0,0,0,4
2020,1,9,8,70,-20,0,60,20,0,0,0,4
2020,1,9,9,61,0,10304,110,20,2,0,0,4
2020,1,9,10,40,-20,0,70,20,0,0,0,2
2020,1,9,11,40,-10,0,120,20,0,0,0,2
