year,month,day,hour,temperature,dew,sealevelpressure,wind dir,wind speed,cloud,one,six,score
2011,1,1,0,-42,-167,10324,340,30,1,0,0,3
2011,1,1,1,-30,-160,0,270,20,0,0,0,3
2011,1,1,2,-10,-170,0,270,20,0,0,0,3
2011,1,1,3,-1,-178,10332,340,30,0,0,0,3
2011,1,1,4,0,-180,0,270,20,0,0,0,3
2011,1,1,5,20,-180,0,0,10,0,0,0,3
2011,1,1,6,22,-158,10309,320,30,0,0,0,3
2011,1,1,7,20,-170,0,320,30,0,0,0,3
2011,1,1,8,10,-160,0,340,30,0,0,0,3
2011,1,1,9,7,-141,10314,360,30,5,0,0,3
2011,1,1,10,0,-150,0,30,20,0,0,0,3
2011,1,1,11,0,-140,0,40,10,0,0,0,3
2011,1,1,12,-11,-118,10325,360,20,3,0,0,3
2011,1,1,13,-10,-110,0,50,20,0,0,0,3
2011,1,1,14,-10,-110,0,40,20,0,0,0,3
2011,1,1,15,-7,-101,10336,20,20,7,0,0,3
2011,1,1,17,-10,-100,0,40,10,0,0,0,3
2011,1,1,18,-17,-93,10334,40,10,7,0,0,3
2011,1,1,19,-20,-80,0,300,10,0,0,0,3
2011,1,1,20,-30,-80,0,350,10,0,0,0,3
2011,1,1,21,-15,-91,10328,340,30,7,0,0,3
2011,1,1,22,-30,-80,0,0,0,0,0,0,3
2011,1,1,23,-40,-80,0,0,0,0,0,0,3
2011,1,2,0,-17,-68,10336,360,40,7,0,0,3
2011,1,2,1,-10,-70,0,40,20,0,0,0,3
2011,1,2,2,10,-70,0,60,40,0,0,0,3
2011,1,2,3,28,-61,10335,360,30,8,0,0,3
2011,1,2,4,20,-70,0,30,40,0,0,0,3
2011,1,2,5,30,-60,0,60,20,0,0,0,3
2011,1,2,6,33,-64,10307,70,20,8,0,0,3
2011,1,2,7,30,-70,0,30,30,0,0,0,3
2011,1,2,8,20,-50,0,50,20,0,0,0,3
2011,1,2,9,27,-67,10298,360,30,8,0,0,3
2011,1,2,10,10,-40,0,190,20,4,0,0,3
2011,1,2,11,0,-30,0,250,10,4,0,0,3
2011,1,2,12,18,-60,10300,20,40,8,0,0,3
2011,1,2,13,0,-30,0,290,10,7,0,0,3
2011,1,2,14,10,-50,0,40,20,7,0,0,3
2011,1,2,15,6,-42,10303,360,30,8,0,0,3
2011,1,2,16,0,-40,0,10,20,7,0,0,3
2011,1,2,17,-10,-30,0,350,10,7,0,0,3
2011,1,2,18,-8,-21,10306,360,40,8,0,-1,3
2011,1,2,19,-10,-30,0,10,20,7,0,0,3
2011,1,2,20,-10,-30,0,360,20,7,0,0,3
2011,1,2,21,-10,-20,10308,340,30,8,0,0,3
2011,1,2,22,-10,-30,0,350,10,7,0,0,3
2011,1,2,23,-20,-40,0,10,10,4,0,0,3
2011,1,3,0,-21,-31,10311,340,20,2,0,-1,3
2011,1,3,1,-10,-30,0,310,20,0,0,0,3
2011,1,3,2,0,-30,0,340,20,7,0,0,3
2011,1,3,3,11,-38,10319,340,30,0,0,0,3
2011,1,3,4,20,-40,0,330,30,7,0,0,3
2011,1,3,5,30,-60,0,320,40,7,0,0,3
2011,1,3,6,24,-67,10301,320,40,0,0,0,3
2011,1,3,7,20,-60,0,340,40,7,0,0,3
2011,1,3,8,20,-60,0,320,30,7,0,0,3
2011,1,3,9,16,-82,10306,320,40,0,0,0,3
2011,1,3,10,10,-60,0,260,10,7,0,0,3
2011,1,3,11,0,-60,0,240,10,7,0,0,3
2011,1,3,12,-6,-74,10311,40,10,0,0,0,3
2011,1,3,13,-10,-50,0,220,10,7,0,0,3
2011,1,3,14,-30,-50,0,270,10,7,0,0,3
2011,1,3,15,-19,-66,10314,340,10,0,0,0,3
2011,1,3,16,-30,-50,0,250,10,7,0,0,3
2011,1,3,17,-30,-50,0,290,10,7,0,0,3
2011,1,3,18,-22,-57,10314,320,10,0,0,0,3
2011,1,3,19,-40,-60,0,260,10,7,0,0,3
2011,1,3,20,-40,-70,0,260,10,7,0,0,3
2011,1,3,21,-36,-72,10299,20,10,0,0,0,3
2011,1,3,22,-40,-70,0,280,10,7,0,0,3
2011,1,3,23,-50,-70,0,240,10,0,0,0,3
2011,1,4,0,-39,-70,10312,270,10,0,0,0,3
2011,1,4,1,-10,-60,0,270,10,0,0,0,3
2011,1,4,2,10,-80,0,300,10,0,0,0,3
2011,1,4,3,23,-120,10307,270,20,0,0,0,3
2011,1,4,4,30,-130,0,330,20,0,0,0,3
2011,1,4,5,40,-130,0,260,10,0,0,0,3
2011,1,4,6,45,-138,10272,200,10,0,0,0,3
2011,1,4,7,50,-130,0,260,10,0,0,0,3
2011,1,4,8,40,-140,0,340,10,0,0,0,3
2011,1,4,9,30,-142,10267,0,0,0,0,0,3
2011,1,4,10,10,-100,0,150,20,0,0,0,3
2011,1,4,11,0,-90,0,200,10,0,0,0,3
2011,1,4,12,7,-107,10275,180,10,0,0,0,3
2011,1,4,13,0,-70,0,0,0,0,0,0,3
2011,1,4,14,10,-70,0,70,20,0,0,0,3
2011,1,4,15,15,-100,10275,90,20,8,0,0,3
2011,1,4,16,10,-50,0,0,0,0,0,0,3
2011,1,4,17,10,-60,0,70,10,0,0,0,3
2011,1,4,18,19,-94,10270,70,10,8,0,0,3
2011,1,4,19,10,-70,0,0,0,0,0,0,3
2011,1,4,20,10,-70,0,140,10,0,0,0,3
2011,1,4,21,17,-81,10265,180,20,8,0,0,3
2011,1,4,22,10,-50,0,220,10,0,0,0,3
2011,1,4,23,10,-40,0,0,0,0,0,0,3
2011,1,5,0,17,-69,10274,180,20,8,0,0,3
2011,1,5,1,10,-50,0,190,20,0,0,0,3
2011,1,5,2,20,-50,0,0,10,0,0,0,3
2011,1,5,3,27,-59,10283,110,10,8,0,0,3
2011,1,5,4,30,-70,0,40,10,4,0,0,3
2011,1,5,5,30,-60,0,0,10,4,0,0,3
2011,1,5,6,33,-78,10271,360,20,8,0,0,3
2011,1,5,7,30,-80,0,0,10,0,0,0,3
2011,1,5,8,30,-70,0,0,0,0,0,0,3
2011,1,5,9,31,-83,10285,20,30,8,0,0,3
2011,1,5,10,20,-40,0,250,20,0,0,0,3
2011,1,5,11,20,-40,0,270,10,0,0,0,3
2011,1,5,12,25,-88,10300,320,10,7,0,0,3
2011,1,5,13,10,-40,0,280,10,0,0,0,3
2011,1,5,14,10,-40,0,290,10,0,0,0,3
2011,1,5,15,19,-94,10320,340,20,6,0,0,3
2011,1,5,16,10,-70,0,330,20,0,0,0,3
2011,1,5,17,0,-70,0,340,10,0,0,0,3
2011,1,5,18,3,-92,10336,320,20,4,0,0,3
2011,1,5,19,-10,-90,0,340,10,0,0,0,3
2011,1,5,20,-20,-90,0,270,10,0,0,0,3
2011,1,5,21,-15,-113,10341,340,70,0,0,0,3
2011,1,5,22,-20,-120,0,10,20,0,0,0,3
2011,1,5,23,-30,-110,0,340,20,0,0,0,3
2011,1,6,0,-27,-157,10370,360,40,3,0,0,3
2011,1,6,1,-20,-140,0,330,30,0,0,0,3
2011,1,6,2,0,-170,0,340,40,0,0,0,3
2011,1,6,3,8,-161,10376,340,60,3,0,0,3
2011,1,6,4,10,-170,0,360,40,0,0,0,3
2011,1,6,5,20,-180,0,330,50,0,0,0,3
2011,1,6,6,20,-160,10355,320,60,0,0,0,3
2011,1,6,7,20,-170,0,340,30,0,0,0,3
2011,1,6,8,20,-170,0,340,30,0,0,0,3
2011,1,6,9,3,-165,10357,360,40,4,0,0,3
2011,1,6,10,0,-160,0,30,20,0,0,0,3
2011,1,6,11,-20,-150,0,30,10,0,0,0,3
2011,1,6,12,-20,-158,10362,40,20,0,0,0,3
2011,1,6,13,-30,-130,0,20,20,0,0,0,3
2011,1,6,14,-50,-110,0,290,10,0,0,0,3
2011,1,6,15,-30,-147,10368,360,10,0,0,0,3
2011,1,6,16,-60,-100,0,210,10,0,0,0,3
2011,1,6,17,-60,-100,0,240,10,0,0,0,3
2011,1,6,18,-49,-117,10365,340,10,0,0,0,3
2011,1,6,19,-70,-100,0,210,10,0,0,0,3
2011,1,6,20,-70,-100,0,250,10,0,0,0,3
2011,1,6,21,-54,-119,10361,320,20,0,0,0,3
2011,1,6,22,-70,-100,0,260,10,0,0,0,3
2011,1,6,23,-60,-100,0,0,0,0,0,0,3
2011,1,7,0,-37,-117,10364,320,20,6,0,0,3
2011,1,7,1,-30,-90,0,250,10,0,0,0,3
2011,1,7,2,-10,-110,0,340,10,0,0,0,3
2011,1,7,3,10,-135,10358,160,10,4,0,0,3
2011,1,7,4,20,-140,0,0,10,0,0,0,3
2011,1,7,5,20,-160,0,0,10,0,0,0,3
