year,month,day,hour,temperature,dew,sealevelpressure,wind dir,wind speed,cloud,one,six,score
2014,1,1,0,10,-35,10216,110,10,0,0,0,1
2014,1,1,1,80,-20,0,240,30,0,0,0,3
2014,1,1,2,110,-20,0,260,50,0,0,0,3
2014,1,1,3,114,-24,10217,220,30,0,0,0,3
2014,1,1,4,150,-30,0,250,60,0,0,0,4
2014,1,1,5,170,-40,0,260,50,0,0,0,4
2014,1,1,6,162,-49,10187,270,30,0,0,0,4
2014,1,1,7,170,-80,0,270,50,0,0,0,4
2014,1,1,8,160,-60,0,260,30,0,0,0,4
2014,1,1,9,140,-47,10187,250,10,0,0,0,3
2014,1,1,10,90,-50,0,210,10,0,0,0,3
2014,1,1,11,80,-50,0,220,20,0,0,0,3
2014,1,1,12,60,-34,10198,20,10,0,0,0,1
2014,1,1,13,20,-30,0,260,10,0,0,0,1
2014,1,1,14,20,-20,0,0,0,0,0,0,1
2014,1,1,15,41,-32,10204,90,10,9,0,0,1
2014,1,1,16,0,-30,0,0,0,0,0,0,1
2014,1,1,17,-10,-20,0,240,10,0,0,0,1
2014,1,1,18,31,-37,10202,90,10,9,0,0,1
2014,1,1,19,-10,-30,0,0,0,0,0,0,1
2014,1,1,20,-30,-40,0,340,10,0,0,0,1
2014,1,1,21,21,-38,10198,210,10,9,0,0,1
2014,1,1,22,-30,-40,0,320,10,0,0,0,1
2014,1,1,23,-30,-40,0,0,10,0,0,0,1
2014,1,2,0,23,-32,10199,140,10,0,0,0,1
2014,1,2,1,30,0,0,0,10,0,0,0,1
2014,1,2,2,70,10,0,0,10,0,0,0,1
2014,1,2,3,142,-40,10193,90,30,0,0,0,3
2014,1,2,4,150,0,0,60,20,0,0,0,4
2014,1,2,5,170,-10,0,80,30,0,0,0,4
2014,1,2,6,173,-52,10162,110,30,0,0,0,4
2014,1,2,7,180,-50,0,50,40,0,0,0,4
2014,1,2,8,170,-60,0,90,50,0,0,0,4
2014,1,2,9,149,-44,10164,90,20,0,0,0,4
