year,hour,min,temperature,humidity,windspeed,score
1949,01,1,12,30,112,0
1949,02,1,14,30,118,0
1949,03,1,16,30,132,0
1949,04,1,18,35,129,1
1949,05,1,20,40,121,2
1949,06,1,22,50,112,3
1949,07,1,20,60,118,4
1949,08,1,18,50,132,5
1949,09,1,16,40,129,4
1949,10,1,14,30,121,1
1949,11,1,12,20,112,0
1949,12,1,10,10,118,0
1950,01,1,12,10,112,0
1950,02,1,13,15,118,0
1950,03,1,15,19,132,0
1950,04,1,17,25,129,1
1950,05,1,19,30,121,1
1950,06,1,21,40,112,2
1950,07,1,23,50,118,3
1950,08,1,21,60,132,4
1950,09,1,19,55,129,5
1950,10,1,17,40,121,3
1950,11,1,15,30,112,1
1950,12,1,13,20,118,0
1951,01,1,12,15,112,0
1951,02,1,14,25,118,0
1951,03,1,16,35,132,1
1951,04,1,18,40,129,2
1951,05,1,20,55,121,4
1951,06,1,22,60,112,5
1951,07,1,24,65,118,4
1951,08,1,26,40,132,3
1951,09,1,24,30,129,2
1951,10,1,22,20,121,1
1951,11,1,20,15,112,0
1951,12,1,18,10,118,0
