year,month,day,hour,temperature,dew,sealevelpressure,wind dir,wind speed,cloud,one,six,score
2013,1,1,0,-22,-38,10244,110,20,0,0,0,4
2013,1,1,1,30,-40,0,240,30,0,0,0,4
2013,1,1,2,50,-40,0,250,50,0,0,0,4
2013,1,1,3,53,-43,10250,250,30,0,0,0,4
2013,1,1,4,80,-30,0,240,30,0,0,0,3
2013,1,1,5,100,-20,0,230,30,0,0,0,3
2013,1,1,6,94,-49,10218,160,20,0,0,0,3
2013,1,1,7,100,-20,0,250,30,0,0,0,3
2013,1,1,8,100,-30,0,250,20,0,0,0,3
2013,1,1,9,78,-75,10223,290,10,0,0,0,3
2013,1,1,10,50,-50,0,250,10,0,0,0,4
2013,1,1,11,20,-40,0,150,10,0,0,0,4
2013,1,1,12,13,-36,10236,40,10,0,0,0,4
2013,1,1,13,0,-20,0,0,10,0,0,0,4
2013,1,1,14,-20,-30,0,20,10,0,0,0,4
2013,1,1,15,18,-29,10247,20,10,0,0,0,4
2013,1,1,16,-20,-30,0,60,10,0,0,0,4
2013,1,1,17,-10,-20,0,50,20,0,0,0,4
2013,1,1,18,16,-20,10258,360,40,0,0,0,4
2013,1,1,19,10,-20,0,60,40,0,0,0,4
2013,1,1,20,10,-20,0,60,50,0,0,0,4
2013,1,1,21,3,-24,10277,40,20,0,0,0,4
2013,1,1,22,0,-20,0,50,30,0,0,0,4
2013,1,1,23,0,-30,0,50,40,0,0,0,4
2013,1,2,0,4,-48,10307,40,40,0,0,0,4
2013,1,2,1,10,-30,0,50,40,0,0,0,4
2013,1,2,2,20,-40,0,50,70,0,0,0,4
2013,1,2,3,32,-55,10334,40,60,0,0,0,4
2013,1,2,4,40,-30,0,60,80,0,0,0,4
2013,1,2,5,40,-30,0,60,70,0,0,0,4
2013,1,2,6,29,-55,10339,20,70,7,0,0,4
2013,1,2,7,30,-50,0,40,70,7,0,0,4
2013,1,2,8,20,-60,0,50,60,0,0,0,4
2013,1,2,9,6,-89,10372,40,70,7,0,0,4
2013,1,2,10,10,-70,0,40,50,0,0,0,4
2013,1,2,11,0,-80,0,40,50,0,0,0,4
2013,1,2,12,-11,-95,10397,360,50,7,0,0,4
2013,1,2,13,-10,-80,0,40,40,0,0,0,4
2013,1,2,14,-10,-100,0,30,50,0,0,0,4
2013,1,2,15,-22,-107,10419,20,50,8,0,0,4
2013,1,2,16,-20,-90,0,40,50,0,0,0,4
2013,1,2,17,-30,-100,0,40,30,0,0,0,4
2013,1,2,18,-38,-143,10421,40,40,7,0,0,4
2013,1,2,19,-30,-120,0,50,40,0,0,0,4
2013,1,2,20,-40,-120,0,30,30,0,0,0,4
2013,1,2,21,-41,-137,10424,360,50,8,0,0,4
2013,1,2,22,-40,-140,0,20,30,0,0,0,4
2013,1,2,23,-40,-120,0,20,40,0,0,0,4
2013,1,3,0,-44,-125,10433,360,30,7,0,0,4
2013,1,3,1,-40,-120,0,30,30,0,0,0,4
2013,1,3,2,-30,-110,0,10,30,7,0,0,4
2013,1,3,3,-30,-110,10435,20,50,7,0,0,4
2013,1,3,4,-20,-100,0,30,30,7,0,0,4
2013,1,3,5,-20,-100,0,10,30,8,0,0,4
2013,1,3,6,-13,-104,10411,340,40,7,0,0,4
2013,1,3,8,-10,-90,0,0,20,0,0,0,4
2013,1,3,9,-16,-97,10403,20,30,0,0,0,4
2013,1,3,10,-20,-80,0,60,20,0,0,0,4
2013,1,3,11,-20,-80,0,50,30,0,0,0,4
2013,1,3,12,-26,-87,10404,40,30,7,0,0,4
2013,1,3,13,-20,-70,0,60,30,0,0,0,4
2013,1,3,14,-20,-70,0,60,20,0,0,0,4
2013,1,3,15,-29,-82,10398,20,30,8,0,0,4
2013,1,3,16,-30,-80,0,50,30,7,0,0,4
2013,1,3,17,-30,-80,0,40,20,7,0,0,4
2013,1,3,18,-38,-81,10380,40,20,0,0,0,4
2013,1,3,19,-30,-70,0,40,30,7,0,0,4
2013,1,3,20,-40,-80,0,40,20,7,0,0,4
2013,1,3,21,-53,-87,10368,360,30,0,0,0,4
2013,1,3,22,-40,-80,0,0,20,7,0,0,4
2013,1,3,23,-50,-90,0,70,20,7,0,0,4
2013,1,4,0,-50,-91,10368,320,10,7,0,0,4
2013,1,4,1,-30,-80,0,50,30,7,0,0,4
2013,1,4,2,-20,-80,0,0,20,0,0,0,4
2013,1,4,3,-10,-109,10355,110,20,7,0,0,4
2013,1,4,4,-10,-90,0,50,30,7,0,0,4
2013,1,4,5,0,-80,0,70,30,0,0,0,4
2013,1,4,6,-3,-111,10315,140,30,8,0,0,4
2013,1,4,7,0,-90,0,70,30,0,0,0,4
2013,1,4,8,0,-90,0,0,20,0,0,0,4
2013,1,4,9,-4,-103,10304,140,30,8,0,0,4
2013,1,4,10,-10,-70,0,110,30,0,0,0,4
2013,1,4,11,-20,-50,0,160,30,0,0,0,4
2013,1,4,12,-15,-63,10307,360,30,8,0,0,4
2013,1,4,13,-20,-50,0,0,20,0,0,0,4
2013,1,4,14,-20,-40,0,0,0,0,0,0,4
2013,1,4,15,-21,-46,10306,340,10,8,0,0,4
2013,1,4,16,-20,-40,0,0,10,0,0,0,4
2013,1,4,17,-20,-40,0,0,10,0,0,0,4
2013,1,4,18,-20,-43,10300,360,20,8,0,-1,4
2013,1,4,19,-20,-40,0,0,10,0,0,0,4
2013,1,4,20,-20,-40,0,0,10,0,0,0,4
2013,1,4,21,-18,-65,10291,360,30,8,0,0,4
2013,1,4,22,-20,-40,0,30,10,0,0,0,4
2013,1,4,23,-20,-50,0,60,10,0,0,0,4
2013,1,5,0,-20,-73,10296,20,20,8,0,0,4
2013,1,5,1,-10,-60,0,0,10,4,0,0,4
2013,1,5,2,0,-60,0,0,10,0,0,0,4
2013,1,5,3,8,-63,10307,340,20,0,0,0,4
2013,1,5,4,10,-60,0,0,20,0,0,0,4
2013,1,5,5,20,-50,0,0,10,0,0,0,4
2013,1,5,6,37,-68,10280,320,20,7,0,0,4
2013,1,5,7,30,-50,0,0,10,0,0,0,4
2013,1,5,8,30,-50,0,0,10,0,0,0,4
2013,1,5,9,21,-51,10280,180,10,7,0,0,4
2013,1,5,10,20,-50,0,0,10,0,0,0,4
2013,1,5,11,10,-40,0,260,10,0,0,0,4
2013,1,5,12,4,-58,10291,360,20,8,0,0,4
2013,1,5,13,10,-40,0,40,30,4,0,0,4
2013,1,5,14,0,-50,0,60,30,0,0,0,4
2013,1,5,15,-2,-68,10290,20,30,8,0,0,4
2013,1,5,16,0,-50,0,0,20,0,0,0,4
2013,1,5,17,0,-50,0,70,20,7,0,0,4
2013,1,5,18,-6,-66,10298,360,20,8,0,0,4
2013,1,5,19,0,-50,0,0,10,4,0,0,4
2013,1,5,20,-10,-40,0,0,10,0,0,0,4
2013,1,5,21,-9,-75,10291,20,20,8,0,0,4
2013,1,5,22,-10,-30,0,160,10,0,0,0,4
2013,1,5,23,-10,-40,0,0,0,0,0,0,4
2013,1,6,0,-7,-75,10299,360,20,8,0,0,4
2013,1,6,1,0,-60,0,0,10,0,0,0,4
2013,1,6,2,10,-60,0,0,20,0,0,0,4
2013,1,6,3,12,-97,10304,40,20,7,0,0,4
2013,1,6,4,20,-80,0,0,20,7,0,0,4
2013,1,6,5,30,-80,0,0,10,7,0,0,4
2013,1,6,6,29,-126,10275,270,20,7,0,0,4
2013,1,6,7,30,-80,0,0,10,0,0,0,4
2013,1,6,8,30,-80,0,0,10,0,0,0,4
