------------ score net ------------
 score_model(
  (score_linear1): Linear(in_features=3, out_features=6, bias=True)
)
Epoch 00001 | Score loss 2.57313490
Epoch 00002 | Score loss 2.55447483
Epoch 00003 | Score loss 2.52382421
Epoch 00004 | Score loss 2.49570513
Epoch 00005 | Score loss 2.48590231
Epoch 00006 | Score loss 2.48802829
Epoch 00007 | Score loss 2.49175215
Epoch 00008 | Score loss 2.49449396
Epoch 00009 | Score loss 2.49518251
Epoch 00010 | Score loss 2.48765159
Epoch 00011 | Score loss 2.41856599
Epoch 00012 | Score loss 2.36301446
Epoch 00013 | Score loss 2.35514593
Epoch 00014 | Score loss 2.34700799
Epoch 00015 | Score loss 2.34010077
Epoch 00016 | Score loss 2.33549571
Epoch 00017 | Score loss 2.33179522
Epoch 00018 | Score loss 2.32818556
Epoch 00019 | Score loss 2.32419157
Epoch 00020 | Score loss 2.31933284
Epoch 00021 | Score loss 2.31291413
Epoch 00022 | Score loss 2.30374098
Epoch 00023 | Score loss 2.28943110
Epoch 00024 | Score loss 2.26401043
Epoch 00025 | Score loss 2.20562577
Epoch 00026 | Score loss 2.00932860
Epoch 00027 | Score loss 1.66573977
Epoch 00028 | Score loss 1.54892564
Epoch 00029 | Score loss 1.51681697
Epoch 00030 | Score loss 1.50523746
Epoch 00031 | Score loss 1.49948704
Epoch 00032 | Score loss 1.49589717
Epoch 00033 | Score loss 1.49329722
Epoch 00034 | Score loss 1.49122345
Epoch 00035 | Score loss 1.48946130
Epoch 00036 | Score loss 1.48790073
Epoch 00037 | Score loss 1.48647952
Epoch 00038 | Score loss 1.48515975
Epoch 00039 | Score loss 1.48391736
Epoch 00040 | Score loss 1.48273587
Epoch 00041 | Score loss 1.48160291
Epoch 00042 | Score loss 1.48051012
Epoch 00043 | Score loss 1.47945058
Epoch 00044 | Score loss 1.47841883
Epoch 00045 | Score loss 1.47741103
Epoch 00046 | Score loss 1.47642303
Epoch 00047 | Score loss 1.47545266
Epoch 00048 | Score loss 1.47449708
Epoch 00049 | Score loss 1.47355461
Epoch 00050 | Score loss 1.47262383
